	PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
99	Jusuf Nurkic	POR	POR vs. DEN	10/24/2022	W	35	13	4	12	33.3	0	1	0.0	5	7	71.4	2	10	12	6	0	1	0	5	26	39.4
100	Damian Lillard	POR	POR vs. DEN	10/24/2022	W	35	31	10	16	62.5	4	7	57.1	7	8	87.5	1	5	6	8	1	0	1	2	24	52.2
101	Jeff Green	DEN	DEN @ POR	10/24/2022	L	20	7	3	8	37.5	0	1	0.0	1	2	50.0	1	1	2	1	1	0	0	2	-15	13.9
102	Peyton Watson	DEN	DEN @ POR	10/24/2022	L	3	4	2	3	66.7	0	0	-	0	0	-	1	1	2	0	0	0	0	0	1	6.4
103	Jabari Walker	POR	POR vs. DEN	10/24/2022	W	4	2	1	1	100	0	0	-	0	0	-	0	2	2	1	0	0	0	0	3	5.9
104	Christian Braun	DEN	DEN @ POR	10/24/2022	L	13	0	0	2	0.0	0	1	0.0	0	0	-	1	2	3	0	0	0	0	1	-6	3.6
105	Keon Johnson	POR	POR vs. DEN	10/24/2022	W	10	3	1	2	50.0	1	2	50.0	0	0	-	0	2	2	1	0	2	3	1	4	9.9
106	Greg Brown III	POR	POR vs. DEN	10/24/2022	W	4	4	2	2	100	0	0	-	0	1	0.0	0	0	0	0	0	0	0	0	3	4.0
107	Zeke Nnaji	DEN	DEN @ POR	10/24/2022	L	4	4	2	3	66.7	0	1	0.0	0	0	-	0	0	0	0	1	0	0	3	-3	7.0
108	Drew Eubanks	POR	POR vs. DEN	10/24/2022	W	12	4	1	1	100	0	0	-	2	2	100	1	1	2	0	1	1	0	3	-2	12.4
109	Anfernee Simons	POR	POR vs. DEN	10/24/2022	W	36	29	11	17	64.7	7	12	58.3	0	0	-	0	3	3	5	1	1	1	0	14	45.1
110	Kevin Porter Jr.	HOU	HOU vs. UTA	10/24/2022	W	35	26	8	19	42.1	1	4	25.0	9	9	100	1	9	10	4	2	1	4	1	3	49.0
111	Talen Horton-Tucker	UTA	UTA @ HOU	10/24/2022	L	17	9	3	7	42.9	1	3	33.3	2	2	100	1	4	5	3	1	2	2	3	-7	26.5
112	Kenyon Martin Jr.	HOU	HOU vs. UTA	10/24/2022	W	34	3	1	9	11.1	1	6	16.7	0	0	-	1	3	4	3	1	1	1	4	-4	17.3
113	Jabari Smith Jr.	HOU	HOU vs. UTA	10/24/2022	W	34	21	6	10	60.0	3	5	60.0	6	6	100	3	6	9	2	0	3	1	5	2	42.8
114	Simone Fontecchio	UTA	UTA @ HOU	10/24/2022	L	16	13	5	9	55.6	3	5	60.0	0	0	-	2	1	3	0	0	0	2	4	-4	14.6
115	Nickeil Alexander-Walker	UTA	UTA @ HOU	10/24/2022	L	5	0	0	1	0.0	0	0	-	0	0	-	0	0	0	1	0	0	0	1	-2	1.5
116	Lauri Markkanen	UTA	UTA @ HOU	10/24/2022	L	31	14	7	19	36.8	0	6	0.0	0	3	0.0	3	3	6	1	0	0	1	0	1	21.7
117	Kelly Olynyk	UTA	UTA @ HOU	10/24/2022	L	27	13	4	5	80.0	2	2	100	3	4	75.0	3	6	9	4	0	0	5	2	8	24.8
118	Rudy Gay	UTA	UTA @ HOU	10/24/2022	L	13	0	0	5	0.0	0	0	-	0	0	-	2	1	3	0	0	2	0	2	-7	9.6
119	Mike Conley	UTA	UTA @ HOU	10/24/2022	L	27	7	3	6	50.0	0	3	0.0	1	3	33.3	0	2	2	7	3	2	2	0	1	32.9
120	Boban Marjanovic	HOU	HOU vs. UTA	10/24/2022	W	4	1	0	0	-	0	0	-	1	2	50.0	1	2	3	0	0	0	1	0	-1	3.6
121	Collin Sexton	UTA	UTA @ HOU	10/24/2022	L	15	10	4	7	57.1	1	2	50.0	1	1	100	1	4	5	1	0	0	1	3	-5	16.5
122	Garrison Mathews	HOU	HOU vs. UTA	10/24/2022	W	12	3	1	5	20.0	1	5	20.0	0	0	-	0	2	2	0	0	1	0	2	10	8.4
123	Jalen Green	HOU	HOU vs. UTA	10/24/2022	W	36	25	9	16	56.3	4	8	50.0	3	3	100	2	1	3	3	0	0	3	1	-1	30.1
124	Daishen Nix	HOU	HOU vs. UTA	10/24/2022	W	22	7	2	3	66.7	0	0	-	3	4	75.0	1	0	1	2	0	1	0	1	5	14.2
125	Josh Christopher	HOU	HOU vs. UTA	10/24/2022	W	4	2	1	2	50.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	1	-4	2.0
126	Usman Garuba	HOU	HOU vs. UTA	10/24/2022	W	11	2	1	3	33.3	0	0	-	0	2	0.0	3	1	4	1	0	0	2	2	5	6.3
127	Tari Eason	HOU	HOU vs. UTA	10/24/2022	W	19	11	4	12	33.3	0	2	0.0	3	4	75.0	5	4	9	0	3	0	1	3	7	29.8
128	Jarred Vanderbilt	UTA	UTA @ HOU	10/24/2022	L	32	13	6	10	60.0	0	1	0.0	1	2	50.0	4	7	11	2	1	1	2	4	-9	33.2
129	Malik Beasley	UTA	UTA @ HOU	10/24/2022	L	20	12	5	9	55.6	2	4	50.0	0	0	-	0	0	0	0	2	1	0	1	-7	21.0
130	Eric Gordon	HOU	HOU vs. UTA	10/24/2022	W	31	13	5	11	45.5	1	4	25.0	2	2	100	0	2	2	2	1	0	2	0	8	19.4
131	Jordan Clarkson	UTA	UTA @ HOU	10/24/2022	L	28	17	7	14	50.0	2	6	33.3	1	1	100	2	2	4	4	0	1	3	3	1	27.8
132	Walker Kessler	UTA	UTA @ HOU	10/24/2022	L	8	0	0	1	0.0	0	0	-	0	0	-	0	1	1	0	1	1	2	4	0	5.2
133	Yuta Watanabe	BKN	BKN @ MEM	10/24/2022	L	6	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	1	1	0.0
134	Ja Morant	MEM	MEM vs. BKN	10/24/2022	W	34	38	12	22	54.5	4	6	66.7	10	11	90.9	2	6	8	7	2	0	2	1	20	62.1
135	John Konchar	MEM	MEM vs. BKN	10/24/2022	W	26	7	2	3	66.7	2	3	66.7	1	2	50.0	1	3	4	0	2	0	0	1	-4	17.8
136	Desmond Bane	MEM	MEM vs. BKN	10/24/2022	W	32	38	14	21	66.7	8	11	72.7	2	3	66.7	0	1	1	7	1	1	1	5	17	54.7
137	Patty Mills	BKN	BKN @ MEM	10/24/2022	L	19	6	2	4	50.0	2	4	50.0	0	0	-	1	0	1	2	0	0	0	0	-8	10.2
138	Steven Adams	MEM	MEM vs. BKN	10/24/2022	W	31	9	3	5	60.0	0	0	-	3	6	50.0	4	9	13	2	1	1	0	2	20	33.6
139	Joe Harris	BKN	BKN @ MEM	10/24/2022	L	23	8	3	9	33.3	2	7	28.6	0	0	-	2	3	5	2	0	1	0	4	12	20.0
140	Ben Simmons	BKN	BKN @ MEM	10/24/2022	L	28	7	2	5	40.0	0	1	0.0	3	5	60.0	0	3	3	8	1	0	5	6	-17	20.6
141	Edmond Sumner	BKN	BKN @ MEM	10/24/2022	L	3	0	0	0	-	0	0	-	0	0	-	0	0	0	1	0	0	1	0	-1	0.5
142	Kyrie Irving	BKN	BKN @ MEM	10/24/2022	L	39	37	14	24	58.3	2	6	33.3	7	8	87.5	2	6	8	5	2	2	3	3	-7	63.1
143	Tyus Jones	MEM	MEM vs. BKN	10/24/2022	W	24	8	4	10	40.0	0	1	0.0	0	0	-	2	1	3	1	0	0	2	2	-11	11.1
144	Royce O'Neale	BKN	BKN @ MEM	10/24/2022	L	36	8	3	12	25.0	2	7	28.6	0	0	-	1	2	3	4	1	2	0	3	-9	26.6
145	Brandon Clarke	MEM	MEM vs. BKN	10/24/2022	W	17	13	4	5	80.0	0	0	-	5	6	83.3	0	2	2	2	0	0	1	4	-10	17.4
146	Nic Claxton	BKN	BKN @ MEM	10/24/2022	L	33	16	7	10	70.0	0	0	-	2	2	100	2	5	7	0	0	2	0	4	-2	30.4
147	Jake LaRavia	MEM	MEM vs. BKN	10/24/2022	W	11	0	0	2	0.0	0	0	-	0	0	-	1	1	2	0	0	0	0	2	-4	2.4
148	Day'Ron Sharpe	BKN	BKN @ MEM	10/24/2022	L	15	5	2	2	100	0	0	-	1	2	50.0	0	3	3	1	0	0	1	5	-8	9.1
149	Santi Aldama	MEM	MEM vs. BKN	10/24/2022	W	32	17	6	8	75.0	2	4	50.0	3	3	100	2	2	4	0	1	1	0	1	17	27.8
150	David Roddy	MEM	MEM vs. BKN	10/24/2022	W	8	0	0	5	0.0	0	4	0.0	0	0	-	0	1	1	1	0	0	0	1	-2	2.7
151	Kevin Durant	BKN	BKN @ MEM	10/24/2022	L	39	37	14	20	70.0	1	3	33.3	8	9	88.9	1	4	5	4	0	0	1	4	-11	48.0
152	Dillon Brooks	MEM	MEM vs. BKN	10/24/2022	W	24	4	2	13	15.4	0	5	0.0	0	0	-	0	0	0	1	0	0	2	3	7	3.5
153	Blake Griffin	BOS	BOS @ CHI	10/24/2022	L	5	2	1	4	25.0	0	0	-	0	0	-	3	1	4	1	0	0	0	0	3	8.3
154	Malcolm Brogdon	BOS	BOS @ CHI	10/24/2022	L	22	12	5	13	38.5	2	6	33.3	0	0	-	1	5	6	2	1	0	3	2	-24	22.2
155	Noah Vonleh	BOS	BOS @ CHI	10/24/2022	L	12	2	1	4	25.0	0	0	-	0	0	-	3	2	5	0	1	2	2	5	-16	15.0
156	Al Horford	BOS	BOS @ CHI	10/24/2022	L	25	8	3	7	42.9	2	6	33.3	0	0	-	1	4	5	2	0	1	0	1	-1	20.0
157	DeMar DeRozan	CHI	CHI vs. BOS	10/24/2022	W	33	25	10	17	58.8	0	0	-	5	5	100	0	5	5	5	1	0	3	1	1	38.5
158	Nikola Vucevic	CHI	CHI vs. BOS	10/24/2022	W	31	18	7	19	36.8	0	3	0.0	4	5	80.0	10	13	23	5	0	0	2	3	1	51.1
159	Marcus Smart	BOS	BOS @ CHI	10/24/2022	L	33	11	4	6	66.7	3	5	60.0	0	0	-	0	1	1	6	2	2	1	3	-11	32.2
160	Jaylen Brown	BOS	BOS @ CHI	10/24/2022	L	35	21	8	23	34.8	2	7	28.6	3	4	75.0	3	3	6	2	0	2	1	4	-10	36.2
161	Derrick Jones Jr.	CHI	CHI vs. BOS	10/24/2022	W	15	10	2	4	50.0	0	1	0.0	6	6	100	1	1	2	1	0	0	0	2	16	13.9
162	Alex Caruso	CHI	CHI vs. BOS	10/24/2022	W	18	7	2	2	100	1	1	100	2	2	100	0	3	3	4	0	2	2	2	29	20.6
163	Jayson Tatum	BOS	BOS @ CHI	10/24/2022	L	35	26	8	18	44.4	4	8	50.0	6	6	100	0	8	8	5	0	0	1	2	-8	42.1
164	Justin Jackson	BOS	BOS @ CHI	10/24/2022	L	5	6	2	3	66.7	2	2	100	0	0	-	0	0	0	0	0	0	0	0	3	6.0
165	Tony Bradley	CHI	CHI vs. BOS	10/24/2022	W	2	0	0	0	-	0	0	-	0	0	-	0	1	1	0	0	0	0	0	1	1.2
166	Derrick White	BOS	BOS @ CHI	10/24/2022	L	26	5	2	8	25.0	1	5	20.0	0	0	-	0	1	1	4	0	0	1	4	5	11.2
167	Luke Kornet	BOS	BOS @ CHI	10/24/2022	L	5	2	1	3	33.3	0	1	0.0	0	0	-	1	2	3	0	0	0	0	0	3	5.6
168	Coby White	CHI	CHI vs. BOS	10/24/2022	W	9	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	4	0	0	0	1	5	6.0
169	Grant Williams	BOS	BOS @ CHI	10/24/2022	L	18	0	0	3	0.0	0	2	0.0	0	0	-	1	2	3	1	1	0	1	3	-26	7.1
170	Javonte Green	CHI	CHI vs. BOS	10/24/2022	W	17	6	2	2	100	2	2	100	0	0	-	0	2	2	0	1	2	0	2	2	17.4
171	Patrick Williams	CHI	CHI vs. BOS	10/24/2022	W	15	4	2	7	28.6	0	2	0.0	0	0	-	1	2	3	0	0	1	0	1	-9	10.6
172	Payton Pritchard	BOS	BOS @ CHI	10/24/2022	L	5	3	1	4	25.0	1	2	50.0	0	0	-	0	1	1	2	0	0	0	0	3	7.2
173	Ayo Dosunmu	CHI	CHI vs. BOS	10/24/2022	W	34	22	9	10	90.0	4	4	100	0	0	-	0	6	6	2	1	0	2	3	2	33.2
174	Sam Hauser	BOS	BOS @ CHI	10/24/2022	L	11	4	1	4	25.0	1	4	25.0	1	2	50.0	1	1	2	1	0	0	0	0	-11	7.9
175	Malcolm Hill	CHI	CHI vs. BOS	10/24/2022	W	0	0	0	0	-	0	0	-	0	0	-	0	1	1	0	0	0	0	0	0	1.2
176	Dalen Terry	CHI	CHI vs. BOS	10/24/2022	W	2	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	1	0.0
177	Goran Dragic	CHI	CHI vs. BOS	10/24/2022	W	17	7	2	7	28.6	0	1	0.0	3	4	75.0	0	0	0	6	0	0	0	1	21	16.0
178	Andre Drummond	CHI	CHI vs. BOS	10/24/2022	W	15	2	1	2	50.0	0	0	-	0	0	-	2	10	12	0	0	0	1	2	16	15.4
179	Zach LaVine	CHI	CHI vs. BOS	10/24/2022	W	32	19	5	15	33.3	3	5	60.0	6	7	85.7	0	2	2	2	1	1	3	0	4	27.4
180	Jordan McLaughlin	MIN	MIN vs. SAS	10/24/2022	L	17	2	1	2	50.0	0	1	0.0	0	0	-	0	1	1	4	3	0	2	1	3	16.2
181	Keita Bates-Diop	SAS	SAS @ MIN	10/24/2022	W	0	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-2	0.0
182	Zach Collins	SAS	SAS @ MIN	10/24/2022	W	17	11	5	9	55.6	0	2	0.0	1	1	100	1	3	4	5	0	0	1	4	11	22.3
183	Isaiah Roby	SAS	SAS @ MIN	10/24/2022	W	13	6	2	6	33.3	2	4	50.0	0	2	0.0	1	1	2	4	2	0	1	2	7	19.4
184	Jakob Poeltl	SAS	SAS @ MIN	10/24/2022	W	31	14	7	12	58.3	0	0	-	0	0	-	8	6	14	4	1	0	2	1	0	37.8
185	Taurean Prince	MIN	MIN vs. SAS	10/24/2022	L	9	3	1	1	100	1	1	100	0	0	-	0	0	0	0	0	0	1	1	-11	2.0
186	Bryn Forbes	MIN	MIN vs. SAS	10/24/2022	L	13	6	2	4	50.0	0	0	-	2	2	100	0	1	1	2	1	0	0	0	2	13.2
187	Tre Jones	SAS	SAS @ MIN	10/24/2022	W	30	8	3	10	30.0	1	4	25.0	1	1	100	0	7	7	8	3	0	1	3	10	36.4
188	Jaden McDaniels	MIN	MIN vs. SAS	10/24/2022	L	24	4	1	4	25.0	0	1	0.0	2	2	100	2	1	3	1	0	0	1	3	-9	8.1
189	Devin Vassell	SAS	SAS @ MIN	10/24/2022	W	33	23	8	22	36.4	5	10	50.0	2	2	100	0	9	9	7	1	0	1	2	16	46.3
190	Josh Richardson	SAS	SAS @ MIN	10/24/2022	W	17	9	4	7	57.1	1	2	50.0	0	0	-	0	3	3	1	1	0	0	1	3	17.1
191	Karl-Anthony Towns	MIN	MIN vs. SAS	10/24/2022	L	39	27	9	17	52.9	2	6	33.3	7	7	100	1	10	11	5	0	0	4	5	-4	43.7
192	D'Angelo Russell	MIN	MIN vs. SAS	10/24/2022	L	31	25	8	16	50.0	3	6	50.0	6	6	100	2	3	5	7	2	1	3	2	-12	47.5
193	Doug McDermott	SAS	SAS @ MIN	10/24/2022	W	17	2	1	5	20.0	0	3	0.0	0	0	-	0	1	1	1	0	0	1	1	-12	3.7
194	Rudy Gobert	MIN	MIN vs. SAS	10/24/2022	L	31	11	4	4	100	0	0	-	3	4	75.0	1	6	7	1	0	3	2	2	-9	27.9
195	Naz Reid	MIN	MIN vs. SAS	10/24/2022	L	13	6	3	7	42.9	0	1	0.0	0	0	-	1	2	3	0	0	1	0	0	-1	12.6
196	Jeremy Sochan	SAS	SAS @ MIN	10/24/2022	W	23	14	7	9	77.8	0	2	0.0	0	0	-	2	2	4	1	1	0	1	5	13	22.3
197	Joshua Primo	SAS	SAS @ MIN	10/24/2022	W	25	10	3	5	60.0	2	4	50.0	2	3	66.7	2	1	3	2	0	0	4	2	-4	12.6
198	Nathan Knight	MIN	MIN vs. SAS	10/24/2022	L	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	2	0.0
199	Anthony Edwards	MIN	MIN vs. SAS	10/24/2022	L	35	9	3	15	20.0	1	8	12.5	2	3	66.7	0	10	10	2	0	0	3	1	-14	21.0
200	Jaylen Nowell	MIN	MIN vs. SAS	10/24/2022	L	26	13	6	16	37.5	1	7	14.3	0	0	-	3	6	9	2	1	0	0	2	8	29.8
201	Romeo Langford	SAS	SAS @ MIN	10/24/2022	W	0	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-2	0.0
202	Keldon Johnson	SAS	SAS @ MIN	10/24/2022	W	34	18	8	20	40.0	1	6	16.7	1	4	25.0	0	3	3	4	2	0	1	0	5	32.6
203	Malachi Flynn	TOR	TOR @ MIA	10/24/2022	W	6	3	1	2	50.0	1	1	100	0	0	-	0	0	0	0	0	0	0	0	-4	3.0
204	Jimmy Butler	MIA	MIA vs. TOR	10/24/2022	L	34	26	8	15	53.3	2	3	66.7	8	9	88.9	2	6	8	4	0	0	1	1	-2	40.6
205	Precious Achiuwa	TOR	TOR @ MIA	10/24/2022	W	34	10	5	12	41.7	0	1	0.0	0	1	0.0	4	18	22	2	0	1	0	2	10	42.4
206	Tyler Herro	MIA	MIA vs. TOR	10/24/2022	L	40	22	8	18	44.4	2	9	22.2	4	5	80.0	1	14	15	4	1	0	4	1	-12	45.0
207	Haywood Highsmith	MIA	MIA vs. TOR	10/24/2022	L	10	0	0	2	0.0	0	1	0.0	0	0	-	0	1	1	0	2	0	2	1	-4	5.2
208	Gabe Vincent	MIA	MIA vs. TOR	10/24/2022	L	26	3	1	3	33.3	0	1	0.0	1	2	50.0	0	1	1	4	1	1	2	1	-18	14.2
209	Duncan Robinson	MIA	MIA vs. TOR	10/24/2022	L	16	12	4	8	50.0	3	6	50.0	1	1	100	0	1	1	0	0	0	0	4	-6	13.2
210	Gary Trent Jr.	TOR	TOR @ MIA	10/24/2022	W	42	18	7	19	36.8	4	12	33.3	0	0	-	1	0	1	2	1	0	1	1	5	24.2
211	Bam Adebayo	MIA	MIA vs. TOR	10/24/2022	L	38	14	4	14	28.6	0	0	-	6	6	100	4	6	10	3	1	2	3	1	5	36.5
212	O.G. Anunoby	TOR	TOR @ MIA	10/24/2022	W	34	6	2	4	50.0	1	3	33.3	1	2	50.0	0	7	7	0	2	1	3	5	16	20.4
213	Pascal Siakam	TOR	TOR @ MIA	10/24/2022	W	42	23	7	22	31.8	2	6	33.3	7	8	87.5	0	9	9	6	2	2	5	1	10	49.8
214	Chris Boucher	TOR	TOR @ MIA	10/24/2022	W	12	10	4	5	80.0	2	2	100	0	0	-	1	1	2	0	0	1	1	4	1	14.4
215	Christian Koloko	TOR	TOR @ MIA	10/24/2022	W	18	2	1	2	50.0	0	0	-	0	0	-	0	2	2	2	0	1	0	5	-10	10.4
216	Dalano Banton	TOR	TOR @ MIA	10/24/2022	W	8	0	0	2	0.0	0	1	0.0	0	0	-	1	2	3	1	0	0	0	1	-5	5.1
217	Max Strus	MIA	MIA vs. TOR	10/24/2022	L	30	6	3	14	21.4	0	8	0.0	0	0	-	1	5	6	2	0	0	0	3	10	16.2
218	Fred VanVleet	TOR	TOR @ MIA	10/24/2022	W	39	24	6	16	37.5	4	6	66.7	8	9	88.9	2	2	4	9	1	0	2	1	13	43.3
219	Khem Birch	TOR	TOR @ MIA	10/24/2022	W	7	2	1	2	50.0	0	0	-	0	0	-	1	1	2	0	0	0	0	1	4	4.4
220	Dewayne Dedmon	MIA	MIA vs. TOR	10/24/2022	L	10	0	0	1	0.0	0	0	-	0	0	-	0	1	1	0	0	0	0	1	-13	1.2
221	Kyle Lowry	MIA	MIA vs. TOR	10/24/2022	L	36	7	1	8	12.5	1	6	16.7	4	4	100	0	3	3	2	0	0	0	2	0	13.6
222	Derrick Rose	NYK	NYK vs. ORL	10/24/2022	W	9	3	1	4	25.0	1	3	33.3	0	0	-	0	0	0	0	0	0	0	1	-10	3.0
223	Isaiah Hartenstein	NYK	NYK vs. ORL	10/24/2022	W	18	7	2	5	40.0	0	0	-	3	4	75.0	4	5	9	0	1	0	1	1	6	19.8
224	Bol Bol	ORL	ORL @ NYK	10/24/2022	L	20	19	8	10	80.0	1	2	50.0	2	2	100	3	2	5	0	0	4	2	2	0	35.0
225	Cam Reddish	NYK	NYK vs. ORL	10/24/2022	W	14	7	3	4	75.0	1	1	100	0	0	-	1	1	2	2	0	0	1	3	2	11.4
226	Terrence Ross	ORL	ORL @ NYK	10/24/2022	L	33	8	3	7	42.9	2	5	40.0	0	0	-	0	3	3	0	1	0	1	1	-7	13.6
227	Evan Fournier	NYK	NYK vs. ORL	10/24/2022	W	27	8	2	8	25.0	2	8	25.0	2	2	100	0	2	2	2	0	0	0	2	8	13.4
228	Julius Randle	NYK	NYK vs. ORL	10/24/2022	W	34	25	10	19	52.6	2	9	22.2	3	5	60.0	4	8	12	4	1	0	2	5	4	46.4
229	Mo Bamba	ORL	ORL @ NYK	10/24/2022	L	14	2	1	3	33.3	0	2	0.0	0	0	-	0	3	3	0	1	0	2	4	-18	6.6
230	Jalen Brunson	NYK	NYK vs. ORL	10/24/2022	W	33	21	8	16	50.0	2	4	50.0	3	3	100	0	3	3	6	2	0	3	5	17	36.6
231	Wendell Carter Jr.	ORL	ORL @ NYK	10/24/2022	L	34	17	5	10	50.0	2	5	40.0	5	6	83.3	4	7	11	1	1	0	1	3	-11	33.7
232	Mitchell Robinson	NYK	NYK vs. ORL	10/24/2022	W	30	14	6	7	85.7	0	0	-	2	5	40.0	5	1	6	0	1	3	0	3	7	33.2
233	RJ Barrett	NYK	NYK vs. ORL	10/24/2022	W	38	20	7	19	36.8	3	7	42.9	3	4	75.0	1	5	6	1	0	0	3	2	22	25.7
234	Cole Anthony	ORL	ORL @ NYK	10/24/2022	L	29	14	6	18	33.3	0	5	0.0	2	2	100	2	2	4	4	1	0	1	4	-7	26.8
235	R.J. Hampton	ORL	ORL @ NYK	10/24/2022	L	7	0	0	1	0.0	0	0	-	0	0	-	0	0	0	0	0	0	0	1	-3	0.0
236	Caleb Houstan	ORL	ORL @ NYK	10/24/2022	L	21	7	2	4	50.0	1	2	50.0	2	2	100	0	3	3	0	0	0	1	0	-17	9.6
237	Paolo Banchero	ORL	ORL @ NYK	10/24/2022	L	34	21	6	13	46.2	0	3	0.0	9	11	81.8	0	4	4	2	2	0	1	3	-2	33.8
238	Franz Wagner	ORL	ORL @ NYK	10/24/2022	L	36	14	5	15	33.3	1	6	16.7	3	4	75.0	3	3	6	5	0	0	2	3	4	26.7
239	Immanuel Quickley	NYK	NYK vs. ORL	10/24/2022	W	23	0	0	5	0.0	0	4	0.0	0	0	-	1	5	6	8	1	0	2	2	0	20.2
240	Obi Toppin	NYK	NYK vs. ORL	10/24/2022	W	14	10	4	6	66.7	0	1	0.0	2	2	100	2	2	4	1	1	0	1	0	9	18.3
241	Chuma Okeke	ORL	ORL @ NYK	10/24/2022	L	12	0	0	5	0.0	0	5	0.0	0	0	-	1	1	2	2	0	0	1	2	-4	4.4
242	Danuel House Jr.	PHI	PHI vs. IND	10/24/2022	W	20	6	2	4	50.0	1	3	33.3	1	2	50.0	1	1	2	2	0	0	0	2	15	11.4
243	De'Anthony Melton	PHI	PHI vs. IND	10/24/2022	W	17	11	3	6	50.0	2	4	50.0	3	3	100	0	5	5	1	1	0	0	1	11	21.5
244	Tyrese Maxey	PHI	PHI vs. IND	10/24/2022	W	38	8	3	11	27.3	2	5	40.0	0	0	-	1	1	2	3	1	0	2	0	4	15.9
245	Chris Duarte	IND	IND @ PHI	10/24/2022	L	16	9	4	9	44.4	1	3	33.3	0	0	-	3	1	4	0	0	0	1	2	-7	12.8
246	Isaiah Jackson	IND	IND @ PHI	10/24/2022	L	18	5	1	2	50.0	0	0	-	3	6	50.0	0	1	1	0	1	0	0	5	0	9.2
247	Bennedict Mathurin	IND	IND @ PHI	10/24/2022	L	25	17	6	16	37.5	1	7	14.3	4	4	100	2	2	4	2	0	0	3	3	-18	21.8
248	Jaden Springer	PHI	PHI vs. IND	10/24/2022	W	2	1	0	1	0.0	0	0	-	1	2	50.0	1	1	2	0	0	1	0	0	-4	6.4
249	Terry Taylor	IND	IND @ PHI	10/24/2022	L	15	2	1	4	25.0	0	1	0.0	0	0	-	2	2	4	0	0	1	0	2	-11	9.8
250	Joel Embiid	PHI	PHI vs. IND	10/24/2022	W	28	26	8	13	61.5	1	3	33.3	9	9	100	1	4	5	2	1	3	3	5	8	44.0
251	Georges Niang	PHI	PHI vs. IND	10/24/2022	W	21	13	4	7	57.1	3	6	50.0	2	2	100	0	1	1	2	1	0	0	2	13	20.2
252	Paul Reed	PHI	PHI vs. IND	10/24/2022	W	9	0	0	2	0.0	0	0	-	0	0	-	0	1	1	0	1	1	1	1	-3	6.2
253	Jalen Smith	IND	IND @ PHI	10/24/2022	L	25	17	6	12	50.0	2	5	40.0	3	4	75.0	4	6	10	1	1	1	1	2	-5	35.5
254	Aaron Nesmith	IND	IND @ PHI	10/24/2022	L	17	9	4	9	44.4	1	4	25.0	0	0	-	0	2	2	1	0	0	1	3	6	11.9
255	Tyrese Haliburton	IND	IND @ PHI	10/24/2022	L	31	19	7	11	63.6	3	6	50.0	2	2	100	2	4	6	10	0	0	4	0	-8	37.2
256	Matisse Thybulle	PHI	PHI vs. IND	10/24/2022	W	2	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-4	0.0
257	Andrew Nembhard	IND	IND @ PHI	10/24/2022	L	22	5	2	6	33.3	1	5	20.0	0	0	-	0	3	3	4	0	0	0	0	-2	14.6
258	Oshae Brissett	IND	IND @ PHI	10/24/2022	L	7	0	0	2	0.0	0	2	0.0	0	0	-	1	2	3	0	0	0	1	0	-3	2.6
259	Goga Bitadze	IND	IND @ PHI	10/24/2022	L	21	3	0	2	0.0	0	1	0.0	3	4	75.0	0	3	3	1	0	2	0	3	-8	14.1
260	Shake Milton	PHI	PHI vs. IND	10/24/2022	W	6	0	0	0	-	0	0	-	0	0	-	0	1	1	1	0	0	0	1	4	2.7
261	Furkan Korkmaz	PHI	PHI vs. IND	10/24/2022	W	2	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	-4	0.0
262	Buddy Hield	IND	IND @ PHI	10/24/2022	L	28	18	6	14	42.9	3	10	30.0	3	3	100	0	6	6	6	0	0	1	3	-4	33.2
263	Montrezl Harrell	PHI	PHI vs. IND	10/24/2022	W	11	5	0	2	0.0	0	0	-	5	6	83.3	0	0	0	0	0	1	0	1	7	8.0
264	T.J. McConnell	IND	IND @ PHI	10/24/2022	L	15	2	1	3	33.3	0	0	-	0	0	-	0	1	1	2	1	0	1	0	-10	8.2
265	Tobias Harris	PHI	PHI vs. IND	10/24/2022	W	29	18	7	14	50.0	4	10	40.0	0	0	-	2	6	8	2	1	1	0	3	14	36.6
266	James Harden	PHI	PHI vs. IND	10/24/2022	W	35	29	10	18	55.6	5	10	50.0	4	4	100	0	9	9	11	2	0	1	2	16	61.3
267	P.J. Tucker	PHI	PHI vs. IND	10/24/2022	W	20	3	1	1	100	1	1	100	0	0	-	1	2	3	1	0	0	0	2	-7	8.1
268	Kawhi Leonard	LAC	LAC vs. PHX	10/23/2022	L	21	11	2	6	33.3	0	2	0.0	7	7	100	3	3	6	2	2	0	2	2	1	25.2
269	Paul George	LAC	LAC vs. PHX	10/23/2022	L	34	16	4	11	36.4	2	6	33.3	6	6	100	0	7	7	4	2	0	2	2	-7	34.4
