	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
39	Dillon Brooks	MEM	MEM vs. BOS	08/11/2020	L	33	14	5	15	33.3	0	4	0.0	4	4	100	1	1	2	3	0	0	2	4	-12	18.9
40	Daniel Theis	BOS	BOS @ MEM	08/11/2020	W	18	2	1	3	33.3	0	1	0.0	0	0	-	0	3	3	1	1	1	0	2	-6	13.1
41	Kyle Anderson	MEM	MEM vs. BOS	08/11/2020	L	23	6	2	6	33.3	2	3	66.7	0	0	-	1	6	7	2	0	1	1	3	-18	19.4
42	Yuta Watanabe	MEM	MEM vs. BOS	08/11/2020	L	3	2	1	3	33.3	0	0	-	0	0	-	1	1	2	1	0	0	0	0	4	5.9
43	Marcus Smart	BOS	BOS @ MEM	08/11/2020	W	29	11	3	7	42.9	2	4	50.0	3	3	100	0	3	3	9	1	0	1	1	23	30.1
44	De'Anthony Melton	MEM	MEM vs. BOS	08/11/2020	L	13	3	1	6	16.7	1	3	33.3	0	0	-	1	1	2	2	1	0	1	1	-7	10.4
45	Marko Guduric	MEM	MEM vs. BOS	08/11/2020	L	3	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	4	0.0
46	John Konchar	MEM	MEM vs. BOS	08/11/2020	L	3	3	1	2	50.0	1	1	100	0	0	-	0	0	0	0	0	0	0	0	4	3.0
47	Javonte Green	BOS	BOS @ MEM	08/11/2020	W	3	0	0	1	0.0	0	0	-	0	0	-	0	1	1	0	0	0	0	0	-4	1.2
48	Grant Williams	BOS	BOS @ MEM	08/11/2020	W	20	3	1	3	33.3	1	2	50.0	0	0	-	0	3	3	1	0	1	2	4	3	9.1
49	Brandon Clarke	MEM	MEM vs. BOS	08/11/2020	L	29	15	7	14	50.0	0	1	0.0	1	2	50.0	2	4	6	1	0	1	0	0	-15	26.7
0	Brad Wanamaker	BOS	BOS @ MEM	08/11/2020	W	19	8	2	3	66.7	1	1	100	3	4	75.0	0	2	2	4	1	0	0	4	23	19.4
1	Gorgui Dieng	MEM	MEM vs. BOS	08/11/2020	L	23	10	1	3	33.3	0	1	0.0	8	9	88.9	1	4	5	0	3	0	0	4	7	25.0
2	Romeo Langford	BOS	BOS @ MEM	08/11/2020	W	3	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-4	0.0
3	Enes Freedom	BOS	BOS @ MEM	08/11/2020	W	16	11	5	9	55.6	0	0	-	1	1	100	4	4	8	1	0	1	0	3	12	25.1
4	Jayson Tatum	BOS	BOS @ MEM	08/11/2020	W	29	29	10	13	76.9	4	5	80.0	5	5	100	1	5	6	2	1	0	5	1	10	37.2
5	Josh Jackson	MEM	MEM vs. BOS	08/11/2020	L	3	2	0	0	-	0	0	-	2	2	100	0	0	0	1	0	0	0	0	4	3.5
6	Ja Morant	MEM	MEM vs. BOS	08/11/2020	L	42	26	7	13	53.8	1	4	25.0	11	15	73.3	0	4	4	13	1	2	3	1	-8	56.3
7	Gordon Hayward	BOS	BOS @ MEM	08/11/2020	W	32	19	7	16	43.8	4	9	44.4	1	2	50.0	1	4	5	5	1	0	1	2	-2	34.5
8	Semi Ojeleye	BOS	BOS @ MEM	08/11/2020	W	3	3	1	2	50.0	1	2	50.0	0	0	-	0	0	0	0	0	0	0	1	-4	3.0
