	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
0	Ivan Rabb	MEM	MEM vs. GSW	04/10/2019	W	29	6	3	10	30.0	0	2	0.0	0	0	-	2	6	8	6	0	0	1	3	12	23.6
1	Klay Thompson	GSW	GSW @ MEM	04/10/2019	L	17	19	8	12	66.7	3	5	60.0	0	0	-	0	1	1	3	1	1	0	0	-12	30.7
2	Tyler Zeller	MEM	MEM vs. GSW	04/10/2019	W	19	8	3	6	50.0	0	0	-	2	4	50.0	3	1	4	0	0	0	1	2	3	11.8
3	Tyler Dorsey	MEM	MEM vs. GSW	04/10/2019	W	28	18	7	12	58.3	2	6	33.3	2	2	100	3	1	4	3	1	0	0	2	17	30.3
4	Justin Holiday	MEM	MEM vs. GSW	04/10/2019	W	28	22	8	16	50.0	5	10	50.0	1	2	50.0	0	4	4	1	0	0	2	2	5	26.3
5	Julian Washburn	MEM	MEM vs. GSW	04/10/2019	W	23	8	4	7	57.1	0	2	0.0	0	0	-	1	5	6	0	3	0	1	2	-10	23.2
6	Jevon Carter	MEM	MEM vs. GSW	04/10/2019	W	26	32	10	18	55.6	8	12	66.7	4	4	100	1	3	4	2	1	0	1	1	18	41.8
7	Bruno Caboclo	MEM	MEM vs. GSW	04/10/2019	W	30	21	8	14	57.1	3	6	50.0	2	2	100	0	4	4	2	1	0	2	3	13	29.8
8	Jacob Evans	GSW	GSW @ MEM	04/10/2019	L	25	8	3	7	42.9	2	3	66.7	0	0	-	1	2	3	4	0	0	1	2	5	16.6
9	Alfonzo McKinnie	GSW	GSW @ MEM	04/10/2019	L	18	4	2	3	66.7	0	1	0.0	0	1	0.0	0	3	3	1	0	0	1	3	-8	8.1
10	Jordan Bell	GSW	GSW @ MEM	04/10/2019	L	28	15	6	9	66.7	0	0	-	3	4	75.0	2	6	8	1	0	1	2	2	-9	27.1
11	Marcus Derrickson	GSW	GSW @ MEM	04/10/2019	L	8	13	4	5	80.0	4	4	100	1	1	100	1	1	2	0	0	0	0	0	12	15.4
12	Andre Iguodala	GSW	GSW @ MEM	04/10/2019	L	22	5	2	10	20.0	1	6	16.7	0	0	-	1	0	1	5	0	0	1	0	-16	12.7
13	Kevon Looney	GSW	GSW @ MEM	04/10/2019	L	16	6	3	8	37.5	0	0	-	0	0	-	2	1	3	3	0	0	0	1	-7	14.1
