	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
14	Jonas Jerebko	GSW	GSW @ MEM	04/10/2019	L	18	6	3	5	60.0	0	1	0.0	0	0	-	0	3	3	3	0	1	1	2	-3	16.1
15	Damion Lee	GSW	GSW @ MEM	04/10/2019	L	23	10	4	10	40.0	1	4	25.0	1	1	100	1	4	5	2	0	0	0	0	-9	19.0
16	Delon Wright	MEM	MEM vs. GSW	04/10/2019	W	37	13	3	7	42.9	3	5	60.0	4	4	100	3	8	11	11	3	0	3	1	15	48.7
17	Andrew Bogut	GSW	GSW @ MEM	04/10/2019	L	18	0	0	1	0.0	0	0	-	0	0	-	1	5	6	1	1	2	5	1	-15	12.7
18	Yuta Watanabe	MEM	MEM vs. GSW	04/10/2019	W	19	4	2	8	25.0	0	3	0.0	0	0	-	2	2	4	0	0	0	0	2	2	8.8
19	Kevin Durant	GSW	GSW @ MEM	04/10/2019	L	18	21	7	10	70.0	0	2	0.0	7	7	100	0	0	0	6	1	0	0	1	-9	33.0
20	Quinn Cook	GSW	GSW @ MEM	04/10/2019	L	28	10	4	12	33.3	2	4	50.0	0	0	-	0	4	4	3	0	0	3	5	-4	16.3
21	Amile Jefferson	ORL	ORL @ CHA	04/10/2019	W	25	6	3	4	75.0	0	0	-	0	0	-	2	5	7	1	1	0	1	3	6	17.9
22	Evan Fournier	ORL	ORL @ CHA	04/10/2019	W	32	14	6	15	40.0	0	5	0.0	2	3	66.7	0	2	2	3	0	0	0	1	-7	20.9
23	Bismack Biyombo	CHA	CHA vs. ORL	04/10/2019	L	26	6	2	3	66.7	0	0	-	2	4	50.0	3	3	6	1	0	0	0	3	8	14.7
24	Devonte' Graham	CHA	CHA vs. ORL	04/10/2019	L	16	2	0	3	0.0	0	3	0.0	2	2	100	0	4	4	2	0	0	2	2	-9	7.8
25	Miles Bridges	CHA	CHA vs. ORL	04/10/2019	L	41	18	8	13	61.5	0	4	0.0	2	2	100	1	4	5	3	2	2	1	0	2	39.5
26	D.J. Augustin	ORL	ORL @ CHA	04/10/2019	W	31	18	7	13	53.8	3	6	50.0	1	2	50.0	0	4	4	1	0	0	2	2	-4	22.3
27	Frank Kaminsky	CHA	CHA vs. ORL	04/10/2019	L	19	9	2	6	33.3	0	2	0.0	5	6	83.3	0	1	1	0	0	0	0	2	-20	10.2
28	Nicolas Batum	CHA	CHA vs. ORL	04/10/2019	L	13	0	0	1	0.0	0	1	0.0	0	0	-	0	2	2	3	0	0	0	0	4	6.9
29	Aaron Gordon	ORL	ORL @ CHA	04/10/2019	W	33	27	11	18	61.1	1	3	33.3	4	4	100	2	5	7	3	0	0	2	1	1	37.9
30	Michael Carter-Williams	ORL	ORL @ CHA	04/10/2019	W	22	8	3	5	60.0	0	1	0.0	2	4	50.0	1	3	4	7	1	0	0	3	18	26.3
31	Wes Iwundu	ORL	ORL @ CHA	04/10/2019	W	24	7	3	6	50.0	1	2	50.0	0	0	-	0	0	0	4	2	2	0	1	-2	25.0
32	Malik Monk	CHA	CHA vs. ORL	04/10/2019	L	18	2	1	4	25.0	0	2	0.0	0	0	-	0	2	2	3	0	0	1	2	-9	7.9
33	Jeremy Lamb	CHA	CHA vs. ORL	04/10/2019	L	32	22	6	12	50.0	4	7	57.1	6	6	100	0	8	8	2	0	0	1	2	-7	33.6
34	Michael Kidd-Gilchrist	CHA	CHA vs. ORL	04/10/2019	L	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-4	0.0
35	Khem Birch	ORL	ORL @ CHA	04/10/2019	W	23	5	2	4	50.0	0	0	-	1	2	50.0	2	4	6	2	0	0	0	5	2	15.2
36	Jarell Martin	ORL	ORL @ CHA	04/10/2019	W	20	2	1	4	25.0	0	3	0.0	0	0	-	0	3	3	1	0	0	0	2	11	7.1
37	Dwayne Bacon	CHA	CHA vs. ORL	04/10/2019	L	35	12	6	11	54.5	0	1	0.0	0	0	-	0	2	2	2	1	0	1	2	-5	19.4
38	Terrence Ross	ORL	ORL @ CHA	04/10/2019	W	30	35	12	19	63.2	6	10	60.0	5	5	100	2	4	6	2	1	0	1	1	15	47.2
39	Kemba Walker	CHA	CHA vs. ORL	04/10/2019	L	40	43	16	25	64.0	4	9	44.4	7	7	100	0	2	2	5	0	2	2	1	0	56.9
40	Anthony Tolliver	MIN	MIN @ DEN	04/10/2019	L	21	3	1	5	20.0	1	5	20.0	0	0	-	0	2	2	3	1	0	1	2	5	11.9
41	Jamal Murray	DEN	DEN vs. MIN	04/10/2019	W	35	17	6	12	50.0	3	7	42.9	2	4	50.0	2	6	8	7	0	1	2	0	16	38.1
42	Gary Harris	DEN	DEN vs. MIN	04/10/2019	W	39	14	5	11	45.5	0	3	0.0	4	5	80.0	2	1	3	1	1	1	3	2	6	22.1
43	Will Barton	DEN	DEN vs. MIN	04/10/2019	W	33	10	4	10	40.0	1	4	25.0	1	2	50.0	1	8	9	4	1	1	1	1	9	31.8
44	Mason Plumlee	DEN	DEN vs. MIN	04/10/2019	W	14	2	1	2	50.0	0	0	-	0	0	-	2	4	6	2	0	1	0	0	-15	15.2
45	Torrey Craig	DEN	DEN vs. MIN	04/10/2019	W	13	4	1	1	100	1	1	100	1	2	50.0	1	0	1	1	0	0	0	2	-10	6.7
46	Tyus Jones	MIN	MIN @ DEN	04/10/2019	L	34	8	4	12	33.3	0	2	0.0	0	0	-	0	1	1	8	0	0	0	4	-19	21.2
47	Andrew Wiggins	MIN	MIN @ DEN	04/10/2019	L	36	25	11	20	55.0	3	6	50.0	0	1	0.0	1	4	5	4	0	0	2	1	-8	35.0
48	Dario Saric	MIN	MIN @ DEN	04/10/2019	L	29	11	4	13	30.8	0	5	0.0	3	3	100	1	6	7	3	0	0	1	3	-1	22.9
49	Malik Beasley	DEN	DEN vs. MIN	04/10/2019	W	17	7	3	10	30.0	1	7	14.3	0	0	-	0	2	2	0	0	0	0	0	-9	9.4
0	Gorgui Dieng	MIN	MIN @ DEN	04/10/2019	L	34	18	8	20	40.0	2	4	50.0	0	0	-	4	7	11	2	3	0	5	5	-19	38.2
1	Nikola Jokic	DEN	DEN vs. MIN	04/10/2019	W	37	29	13	26	50.0	1	7	14.3	2	2	100	3	11	14	2	3	0	4	4	16	53.8
2	Cam Reynolds	MIN	MIN @ DEN	04/10/2019	L	26	19	7	11	63.6	5	7	71.4	0	0	-	0	6	6	1	0	0	0	3	6	27.7
3	Monte Morris	DEN	DEN vs. MIN	04/10/2019	W	21	7	3	8	37.5	1	1	100	0	0	-	0	2	2	3	1	0	0	1	-10	16.9
4	C.J. Williams	MIN	MIN @ DEN	04/10/2019	L	18	6	2	2	100	2	2	100	0	0	-	0	1	1	1	0	0	0	2	11	8.7
5	Josh Okogie	MIN	MIN @ DEN	04/10/2019	L	17	0	0	3	0.0	0	0	-	0	0	-	0	1	1	1	1	0	0	1	-3	5.7
6	Keita Bates-Diop	MIN	MIN @ DEN	04/10/2019	L	19	4	2	4	50.0	0	0	-	0	0	-	1	6	7	1	1	0	1	0	6	15.9
7	Paul Millsap	DEN	DEN vs. MIN	04/10/2019	W	32	9	3	7	42.9	2	3	66.7	1	2	50.0	1	7	8	3	0	0	2	2	17	21.1
8	Jared Terrell	MIN	MIN @ DEN	04/10/2019	L	6	1	0	1	0.0	0	1	0.0	1	2	50.0	0	0	0	0	0	0	0	1	2	1.0
9	Kyle O'Quinn	IND	IND @ ATL	04/10/2019	W	10	6	2	5	40.0	0	0	-	2	2	100	0	2	2	2	0	2	1	2	-3	16.4
10	Alex Len	ATL	ATL vs. IND	04/10/2019	L	31	20	6	17	35.3	2	6	33.3	6	8	75.0	6	4	10	3	0	3	0	3	13	45.5
11	Justin Anderson	ATL	ATL vs. IND	04/10/2019	L	13	7	2	3	66.7	1	1	100	2	2	100	1	2	3	0	1	0	2	2	-8	11.6
12	Alize Johnson	IND	IND @ ATL	04/10/2019	W	25	7	2	5	40.0	0	0	-	3	4	75.0	3	8	11	1	1	2	0	2	14	30.7
13	Vince Carter	ATL	ATL vs. IND	04/10/2019	L	12	1	0	4	0.0	0	3	0.0	1	2	50.0	0	0	0	0	0	1	0	2	-13	4.0
14	Darren Collison	IND	IND @ ATL	04/10/2019	W	16	6	1	3	33.3	0	1	0.0	4	4	100	0	1	1	4	1	0	1	3	1	15.2
15	Davon Reed	IND	IND @ ATL	04/10/2019	W	23	7	3	8	37.5	1	3	33.3	0	0	-	1	3	4	1	1	0	0	2	-2	16.3
16	Cory Joseph	IND	IND @ ATL	04/10/2019	W	21	6	2	7	28.6	0	1	0.0	2	2	100	1	2	3	2	2	1	0	1	4	21.6
17	Edmond Sumner	IND	IND @ ATL	04/10/2019	W	30	22	5	14	35.7	3	7	42.9	9	11	81.8	2	2	4	1	2	0	2	5	-4	32.3
18	T.J. Leaf	IND	IND @ ATL	04/10/2019	W	34	28	12	19	63.2	0	2	0.0	4	5	80.0	5	5	10	2	2	2	0	2	-1	55.0
19	Aaron Holiday	IND	IND @ ATL	04/10/2019	W	22	13	5	11	45.5	1	5	20.0	2	3	66.7	0	1	1	2	2	0	1	5	3	22.2
20	Trae Young	ATL	ATL vs. IND	04/10/2019	L	34	23	6	18	33.3	1	7	14.3	10	11	90.9	2	3	5	11	2	0	6	0	18	45.5
21	Isaac Humphries	ATL	ATL vs. IND	04/10/2019	L	1	2	1	1	100	0	0	-	0	0	-	1	0	1	0	0	0	0	1	-2	3.2
22	Deyonta Davis	ATL	ATL vs. IND	04/10/2019	L	3	2	0	0	-	0	0	-	2	2	100	1	0	1	0	0	0	0	0	-4	3.2
23	Tyreke Evans	IND	IND @ ATL	04/10/2019	W	26	27	9	14	64.3	5	8	62.5	4	5	80.0	0	2	2	5	0	0	3	4	-3	33.9
24	DeAndre' Bembry	ATL	ATL vs. IND	04/10/2019	L	20	11	4	8	50.0	0	1	0.0	3	3	100	1	1	2	1	1	0	0	5	-11	17.9
25	Taurean Prince	ATL	ATL vs. IND	04/10/2019	L	34	23	8	17	47.1	5	8	62.5	2	3	66.7	0	5	5	2	0	1	1	2	9	34.0
26	Kent Bazemore	ATL	ATL vs. IND	04/10/2019	L	17	7	2	10	20.0	2	6	33.3	1	2	50.0	0	2	2	2	0	0	1	2	-16	11.4
27	Jaylen Adams	ATL	ATL vs. IND	04/10/2019	L	9	1	0	2	0.0	0	1	0.0	1	1	100	0	2	2	1	0	0	1	2	-6	3.9
28	Doug McDermott	IND	IND @ ATL	04/10/2019	W	32	13	4	12	33.3	2	3	66.7	3	3	100	1	4	5	2	1	0	0	2	-4	25.0
29	John Collins	ATL	ATL vs. IND	04/10/2019	L	36	20	8	15	53.3	1	2	50.0	3	4	75.0	9	16	25	6	0	1	3	2	9	59.0
30	Kevin Huerter	ATL	ATL vs. IND	04/10/2019	L	30	17	6	8	75.0	5	6	83.3	0	0	-	1	4	5	3	1	1	3	4	6	30.5
31	D.J. Wilson	MIL	MIL vs. OKC	04/10/2019	L	47	18	8	20	40.0	2	7	28.6	0	0	-	4	13	17	4	1	0	1	1	-12	46.4
32	Sterling Brown	MIL	MIL vs. OKC	04/10/2019	L	23	7	2	7	28.6	0	4	0.0	3	4	75.0	0	3	3	3	0	0	3	4	-14	12.1
33	Raymond Felton	OKC	OKC @ MIL	04/10/2019	W	24	12	4	8	50.0	4	8	50.0	0	0	-	0	4	4	7	0	0	1	1	-1	26.3
34	Ersan Ilyasova	MIL	MIL vs. OKC	04/10/2019	L	24	4	1	5	20.0	0	3	0.0	2	3	66.7	0	8	8	0	0	0	2	3	-5	11.6
35	Deonte Burton	OKC	OKC @ MIL	04/10/2019	W	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0.0
36	Jerami Grant	OKC	OKC @ MIL	04/10/2019	W	43	28	11	20	55.0	4	8	50.0	2	2	100	2	3	5	1	0	0	0	1	11	35.5
37	Bonzie Colson	MIL	MIL vs. OKC	04/10/2019	L	45	21	7	16	43.8	3	9	33.3	4	5	80.0	2	8	10	0	3	0	2	0	-11	40.0
38	Dennis Schroder	OKC	OKC @ MIL	04/10/2019	W	40	32	10	21	47.6	8	15	53.3	4	4	100	0	5	5	3	4	0	2	5	14	52.5
39	Markieff Morris	OKC	OKC @ MIL	04/10/2019	W	26	12	5	9	55.6	2	4	50.0	0	0	-	3	7	10	3	0	0	0	4	13	28.5
40	Pat Connaughton	MIL	MIL vs. OKC	04/10/2019	L	18	12	5	10	50.0	2	5	40.0	0	0	-	3	2	5	1	1	0	2	2	-9	20.5
41	Tim Frazier	MIL	MIL vs. OKC	04/10/2019	L	48	29	10	23	43.5	4	6	66.7	5	7	71.4	1	5	6	13	0	1	3	2	-11	55.7
42	Abdel Nader	OKC	OKC @ MIL	04/10/2019	W	14	11	5	12	41.7	1	6	16.7	0	1	0.0	2	6	8	2	1	0	2	1	6	24.6
43	Steven Adams	OKC	OKC @ MIL	04/10/2019	W	12	4	1	5	20.0	0	0	-	2	4	50.0	2	0	2	0	0	1	0	1	-1	9.4
44	Nerlens Noel	OKC	OKC @ MIL	04/10/2019	W	10	2	1	3	33.3	0	0	-	0	0	-	0	2	2	2	1	1	0	0	3	13.4
45	George Hill	MIL	MIL vs. OKC	04/10/2019	L	19	4	1	5	20.0	1	5	20.0	1	2	50.0	1	2	3	1	1	0	0	0	-2	12.1
46	Jawun Evans	OKC	OKC @ MIL	04/10/2019	W	1	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	0	0.0
47	Terrance Ferguson	OKC	OKC @ MIL	04/10/2019	W	33	11	4	10	40.0	3	9	33.3	0	0	-	0	6	6	5	0	0	3	4	4	22.7
48	Russell Westbrook	OKC	OKC @ MIL	04/10/2019	W	36	15	7	10	70.0	1	3	33.3	0	2	0.0	0	11	11	17	1	1	4	3	6	55.7
49	Khris Middleton	MIL	MIL vs. OKC	04/10/2019	L	17	21	9	14	64.3	3	7	42.9	0	0	-	0	1	1	5	1	0	1	2	9	31.7
0	Troy Williams	SAC	SAC @ POR	04/10/2019	L	11	4	2	5	40.0	0	1	0.0	0	0	-	2	0	2	0	0	0	0	3	-19	6.4
1	Jake Layman	POR	POR vs. SAC	04/10/2019	W	48	19	7	15	46.7	2	3	66.7	3	5	60.0	0	4	4	2	1	0	4	2	5	25.8
2	Zach Collins	POR	POR vs. SAC	04/10/2019	W	13	13	5	6	83.3	1	1	100	2	2	100	3	3	6	1	0	0	0	3	8	21.7
3	Harrison Barnes	SAC	SAC @ POR	04/10/2019	L	16	10	2	4	50.0	2	3	66.7	4	6	66.7	0	3	3	3	0	0	0	0	16	18.1
4	Skal Labissiere	POR	POR vs. SAC	04/10/2019	W	41	29	12	17	70.6	2	2	100	3	4	75.0	4	11	15	1	2	1	2	5	-9	55.5
5	Meyers Leonard	POR	POR vs. SAC	04/10/2019	W	42	19	8	13	61.5	1	2	50.0	2	2	100	4	7	11	3	0	0	3	4	11	33.7
6	Nemanja Bjelica	SAC	SAC @ POR	04/10/2019	L	12	10	3	4	75.0	2	3	66.7	2	2	100	0	0	0	1	0	0	0	1	10	11.5
7	Anfernee Simons	POR	POR vs. SAC	04/10/2019	W	48	37	13	21	61.9	7	11	63.6	4	6	66.7	3	3	6	9	1	0	2	2	5	58.7
8	Corey Brewer	SAC	SAC @ POR	04/10/2019	L	23	0	0	0	-	0	0	-	0	0	-	1	0	1	3	2	0	3	2	-14	8.7
9	Willie Cauley-Stein	SAC	SAC @ POR	04/10/2019	L	17	8	3	3	100	0	0	-	2	2	100	2	3	5	0	0	0	0	2	16	14.0
10	De'Aaron Fox	SAC	SAC @ POR	04/10/2019	L	17	17	8	10	80.0	1	1	100	0	0	-	0	1	1	9	0	0	1	1	19	30.7
11	Bogdan Bogdanovic	SAC	SAC @ POR	04/10/2019	L	27	15	5	16	31.3	3	11	27.3	2	2	100	0	1	1	1	0	0	1	0	-18	16.7
12	Buddy Hield	SAC	SAC @ POR	04/10/2019	L	16	9	3	6	50.0	3	5	60.0	0	0	-	1	2	3	2	0	0	1	0	16	14.6
13	Frank Mason III	SAC	SAC @ POR	04/10/2019	L	18	15	6	13	46.2	2	6	33.3	1	2	50.0	2	0	2	1	0	0	2	1	-26	16.9
14	Gary Trent Jr.	POR	POR vs. SAC	04/10/2019	W	48	19	8	19	42.1	1	5	20.0	2	3	66.7	0	2	2	3	1	1	1	1	5	30.9
15	Yogi Ferrell	SAC	SAC @ POR	04/10/2019	L	29	17	7	13	53.8	3	6	50.0	0	0	-	1	0	1	2	0	0	1	2	-12	20.2
16	Marvin Bagley III	SAC	SAC @ POR	04/10/2019	L	30	20	8	15	53.3	2	5	40.0	2	2	100	0	9	9	0	1	0	1	2	-3	32.8
17	BJ Johnson	SAC	SAC @ POR	04/10/2019	L	6	2	1	2	50.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	1	-2	2.0
18	Caleb Swanigan	SAC	SAC @ POR	04/10/2019	L	18	4	2	5	40.0	0	1	0.0	0	0	-	3	4	7	3	2	1	0	2	-8	25.9
19	Tyler Cavanaugh	UTA	UTA @ LAC	04/10/2019	L	16	0	0	2	0.0	0	0	-	0	0	-	2	1	3	1	0	0	0	3	-9	5.1
20	Georges Niang	UTA	UTA @ LAC	04/10/2019	L	40	24	9	21	42.9	2	6	33.3	4	4	100	1	5	6	3	0	1	3	3	0	35.7
21	Patrick Beverley	LAC	LAC vs. UTA	04/10/2019	W	21	14	5	9	55.6	4	7	57.1	0	0	-	0	6	6	6	1	0	1	4	-4	32.2
22	Ekpe Udoh	UTA	UTA @ LAC	04/10/2019	L	29	14	5	7	71.4	0	0	-	4	6	66.7	3	10	13	5	0	4	0	2	3	49.1
23	Garrett Temple	LAC	LAC vs. UTA	04/10/2019	W	22	5	1	4	25.0	1	3	33.3	2	2	100	1	1	2	0	3	0	0	2	3	16.4
24	Danilo Gallinari	LAC	LAC vs. UTA	04/10/2019	W	25	13	5	11	45.5	0	1	0.0	3	4	75.0	1	3	4	5	1	0	0	1	-4	28.3
25	Joe Ingles	UTA	UTA @ LAC	04/10/2019	L	14	5	1	3	33.3	1	2	50.0	2	2	100	0	2	2	2	2	0	2	2	-3	14.4
26	Ivica Zubac	LAC	LAC vs. UTA	04/10/2019	W	30	22	10	13	76.9	0	0	-	2	2	100	4	7	11	2	0	3	3	2	0	44.2
27	Tony Bradley	UTA	UTA @ LAC	04/10/2019	L	24	15	7	12	58.3	0	0	-	1	2	50.0	7	3	10	1	2	2	2	4	-9	38.5
28	Tyrone Wallace	LAC	LAC vs. UTA	04/10/2019	W	9	4	2	3	66.7	0	0	-	0	0	-	0	2	2	1	0	0	0	0	3	7.9
29	Landry Shamet	LAC	LAC vs. UTA	04/10/2019	W	29	14	5	12	41.7	3	8	37.5	1	2	50.0	0	4	4	3	0	0	0	2	5	23.3
30	Montrezl Harrell	LAC	LAC vs. UTA	04/10/2019	W	21	24	10	13	76.9	0	0	-	4	6	66.7	3	4	7	5	0	1	2	1	11	40.9
31	Wilson Chandler	LAC	LAC vs. UTA	04/10/2019	W	11	2	1	3	33.3	0	1	0.0	0	0	-	1	0	1	0	0	0	0	1	1	3.2
32	Grayson Allen	UTA	UTA @ LAC	04/10/2019	L	41	40	11	30	36.7	5	13	38.5	13	14	92.9	2	5	7	4	1	1	3	1	-3	57.4
33	Lou Williams	LAC	LAC vs. UTA	04/10/2019	W	23	15	5	17	29.4	1	2	50.0	4	5	80.0	2	3	5	5	0	0	3	0	4	25.5
34	Naz Mitrou-Long	UTA	UTA @ LAC	04/10/2019	L	34	9	3	9	33.3	1	4	25.0	2	2	100	1	3	4	9	1	1	4	5	-3	29.3
35	Jerome Robinson	LAC	LAC vs. UTA	04/10/2019	W	16	7	3	6	50.0	0	1	0.0	1	2	50.0	0	5	5	3	0	0	1	4	2	16.5
36	Jae Crowder	UTA	UTA @ LAC	04/10/2019	L	16	17	5	8	62.5	4	6	66.7	3	3	100	0	3	3	2	0	2	1	1	2	28.6
37	Thabo Sefolosha	UTA	UTA @ LAC	04/10/2019	L	27	7	3	8	37.5	1	1	100	0	0	-	1	5	6	3	2	0	1	0	-6	23.7
38	Royce O'Neale	UTA	UTA @ LAC	04/10/2019	L	25	6	3	6	50.0	0	3	0.0	0	0	-	0	3	3	1	0	0	1	3	-2	10.1
39	Sindarius Thornwell	LAC	LAC vs. UTA	04/10/2019	W	8	2	0	0	-	0	0	-	2	2	100	0	1	1	0	0	0	0	1	-1	3.2
40	Shai Gilgeous-Alexander	LAC	LAC vs. UTA	04/10/2019	W	24	8	3	6	50.0	0	0	-	2	2	100	0	2	2	3	2	0	1	4	5	19.9
41	JaMychal Green	LAC	LAC vs. UTA	04/10/2019	W	25	13	4	9	44.4	3	5	60.0	2	3	66.7	0	2	2	1	0	1	1	5	5	18.9
42	Bam Adebayo	MIA	MIA @ BKN	04/10/2019	L	18	10	4	7	57.1	1	2	50.0	1	1	100	0	6	6	0	1	0	2	0	-10	18.2
43	Rodions Kurucs	BKN	BKN vs. MIA	04/10/2019	W	28	15	5	15	33.3	1	8	12.5	4	4	100	3	6	9	1	2	0	0	1	3	33.3
44	Dzanan Musa	BKN	BKN vs. MIA	04/10/2019	W	5	3	1	2	50.0	1	1	100	0	0	-	0	1	1	1	0	0	0	0	6	5.7
45	Rondae Hollis-Jefferson	BKN	BKN vs. MIA	04/10/2019	W	26	10	5	18	27.8	0	2	0.0	0	0	-	5	7	12	3	3	1	3	1	21	37.9
46	Spencer Dinwiddie	BKN	BKN vs. MIA	04/10/2019	W	25	8	3	8	37.5	2	7	28.6	0	0	-	0	0	0	5	0	0	2	2	-10	13.5
47	Jarrett Allen	BKN	BKN vs. MIA	04/10/2019	W	22	1	0	4	0.0	0	0	-	1	2	50.0	0	14	14	2	0	2	1	2	-2	25.8
48	Treveon Graham	BKN	BKN vs. MIA	04/10/2019	W	27	11	4	17	23.5	3	11	27.3	0	0	-	1	0	1	1	0	0	0	0	3	13.7
49	D'Angelo Russell	BKN	BKN vs. MIA	04/10/2019	W	20	21	7	13	53.8	7	11	63.6	0	0	-	2	5	7	5	1	0	1	0	27	38.9
0	Duncan Robinson	MIA	MIA @ BKN	04/10/2019	L	36	15	5	12	41.7	3	9	33.3	2	3	66.7	1	4	5	3	2	0	2	2	-10	29.5
1	Dwyane Wade	MIA	MIA @ BKN	04/10/2019	L	36	25	10	28	35.7	3	13	23.1	2	3	66.7	1	10	11	10	0	1	3	1	-17	53.2
2	Kelly Olynyk	MIA	MIA @ BKN	04/10/2019	L	24	9	4	8	50.0	0	1	0.0	1	1	100	1	3	4	1	0	2	3	1	-14	18.3
3	Justise Winslow	MIA	MIA @ BKN	04/10/2019	L	28	8	3	9	33.3	1	6	16.7	1	2	50.0	1	4	5	4	4	0	3	3	-3	29.0
4	Caris LeVert	BKN	BKN vs. MIA	04/10/2019	W	20	10	4	5	80.0	1	1	100	1	1	100	1	2	3	4	0	0	2	2	15	17.6
5	Udonis Haslem	MIA	MIA @ BKN	04/10/2019	L	30	12	6	17	35.3	0	6	0.0	0	0	-	2	9	11	2	0	0	0	2	-9	28.2
6	James Johnson	MIA	MIA @ BKN	04/10/2019	L	7	0	0	1	0.0	0	1	0.0	0	0	-	0	2	2	1	0	0	1	1	-10	2.9
7	Ed Davis	BKN	BKN vs. MIA	04/10/2019	W	15	6	3	5	60.0	0	0	-	0	0	-	3	7	10	0	0	0	0	0	10	18.0
8	Yante Maten	MIA	MIA @ BKN	04/10/2019	L	12	2	1	2	50.0	0	1	0.0	0	0	-	0	2	2	0	1	0	0	0	2	7.4
9	Shabazz Napier	BKN	BKN vs. MIA	04/10/2019	W	30	20	7	17	41.2	6	13	46.2	0	0	-	3	2	5	5	0	0	0	3	16	33.5
10	Goran Dragic	MIA	MIA @ BKN	04/10/2019	L	9	0	0	3	0.0	0	0	-	0	0	-	1	1	2	0	1	0	0	1	-3	5.4
11	Derrick Jones Jr.	MIA	MIA @ BKN	04/10/2019	L	31	13	5	9	55.6	0	1	0.0	3	5	60.0	1	3	4	0	0	0	0	1	-9	17.8
12	Theo Pinson	BKN	BKN vs. MIA	04/10/2019	W	19	4	2	7	28.6	0	4	0.0	0	0	-	2	2	4	2	1	0	3	2	2	11.8
13	Alan Williams	BKN	BKN vs. MIA	04/10/2019	W	4	4	2	3	66.7	0	0	-	0	0	-	0	2	2	0	0	0	0	0	4	6.4
14	Dion Waiters	MIA	MIA @ BKN	04/10/2019	L	9	0	0	2	0.0	0	1	0.0	0	0	-	0	2	2	1	0	1	0	0	-12	6.9
15	Reggie Jackson	DET	DET @ NYK	04/10/2019	W	25	21	6	12	50.0	3	6	50.0	6	6	100	1	3	4	7	0	0	2	3	25	34.3
16	Kadeem Allen	NYK	NYK vs. DET	04/10/2019	L	29	13	3	10	30.0	2	3	66.7	5	8	62.5	0	5	5	8	2	1	0	1	-11	40.0
17	Mitchell Robinson	NYK	NYK vs. DET	04/10/2019	L	23	11	5	6	83.3	0	0	-	1	2	50.0	1	1	2	0	1	0	0	4	-21	16.4
18	Billy Garrett	NYK	NYK vs. DET	04/10/2019	L	14	6	2	5	40.0	0	2	0.0	2	2	100	0	0	0	1	0	0	1	0	5	6.5
19	Glenn Robinson III	DET	DET @ NYK	04/10/2019	W	32	9	4	7	57.1	1	3	33.3	0	0	-	0	9	9	2	1	1	0	2	9	28.8
