	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
0	Jake Layman	MIN	MIN vs. CHI	04/10/2022	L	17	10	3	3	100	1	1	100	3	4	75.0	0	3	3	0	1	0	0	0	16	16.6
1	Greg Monroe	MIN	MIN vs. CHI	04/10/2022	L	18	9	4	8	50.0	0	0	-	1	2	50.0	1	2	3	5	2	2	3	2	7	29.1
2	Tony Bradley	CHI	CHI @ MIN	04/10/2022	W	15	11	5	8	62.5	0	0	-	1	2	50.0	6	2	8	1	0	1	3	4	3	22.1
3	Jaylen Nowell	MIN	MIN vs. CHI	04/10/2022	L	21	15	6	12	50.0	3	5	60.0	0	0	-	0	0	0	2	0	1	1	0	-2	20.0
4	Javonte Green	CHI	CHI @ MIN	04/10/2022	W	40	8	4	8	50.0	0	2	0.0	0	0	-	1	6	7	2	2	0	0	3	2	25.4
5	Patrick Williams	CHI	CHI @ MIN	04/10/2022	W	41	35	10	21	47.6	3	4	75.0	12	14	85.7	0	4	4	4	0	1	5	2	-8	43.8
6	Leandro Bolmaro	MIN	MIN vs. CHI	04/10/2022	L	18	11	4	9	44.4	1	1	100	2	2	100	1	2	3	4	0	0	0	1	15	20.6
7	Nathan Knight	MIN	MIN vs. CHI	04/10/2022	L	16	17	7	12	58.3	1	3	33.3	2	3	66.7	2	6	8	3	0	0	1	4	16	30.1
8	Ayo Dosunmu	CHI	CHI @ MIN	04/10/2022	W	45	26	9	18	50.0	3	6	50.0	5	7	71.4	2	3	5	6	2	0	7	2	10	40.0
9	Malcolm Hill	CHI	CHI @ MIN	04/10/2022	W	13	2	1	2	50.0	0	1	0.0	0	0	-	0	3	3	3	1	0	1	2	-9	12.1
10	Patrick Beverley	MIN	MIN vs. CHI	04/10/2022	L	15	5	1	3	33.3	0	1	0.0	3	4	75.0	0	1	1	4	0	0	0	1	-11	12.2
11	Tristan Thompson	CHI	CHI @ MIN	04/10/2022	W	15	10	4	6	66.7	0	0	-	2	4	50.0	2	3	5	0	0	0	0	2	11	16.0
12	Malik Beasley	MIN	MIN vs. CHI	04/10/2022	L	16	8	3	9	33.3	2	6	33.3	0	0	-	0	1	1	1	0	0	0	1	-13	10.7
13	Derrick Jones Jr.	CHI	CHI @ MIN	04/10/2022	W	29	12	3	5	60.0	2	2	100	4	4	100	3	1	4	2	2	1	3	4	-2	25.8
14	Troy Brown Jr.	CHI	CHI @ MIN	04/10/2022	W	40	17	7	13	53.8	2	6	33.3	1	1	100	2	9	11	4	2	0	2	1	9	40.2
15	Josh Okogie	MIN	MIN vs. CHI	04/10/2022	L	21	13	5	7	71.4	0	1	0.0	3	4	75.0	3	0	3	2	2	1	0	4	-3	28.6
16	Jarred Vanderbilt	MIN	MIN vs. CHI	04/10/2022	L	14	0	0	2	0.0	0	1	0.0	0	0	-	0	3	3	1	0	0	2	1	-14	3.1
17	Tyler Cook	CHI	CHI @ MIN	04/10/2022	W	4	3	1	2	50.0	0	0	-	1	1	100	0	1	1	0	0	0	0	2	4	4.2
18	Jordan McLaughlin	MIN	MIN vs. CHI	04/10/2022	L	19	2	1	1	100	0	0	-	0	0	-	0	2	2	4	0	1	2	1	0	11.4
19	Naz Reid	MIN	MIN vs. CHI	04/10/2022	L	21	14	6	10	60.0	2	4	50.0	0	0	-	2	3	5	0	0	2	2	4	-16	24.0
20	Anthony Edwards	MIN	MIN vs. CHI	04/10/2022	L	18	8	3	8	37.5	0	4	0.0	2	2	100	0	0	0	1	1	0	1	1	-12	11.5
21	Jaden McDaniels	MIN	MIN vs. CHI	04/10/2022	L	18	8	3	7	42.9	1	4	25.0	1	1	100	0	0	0	1	1	2	1	3	-6	17.5
22	McKinley Wright IV	MIN	MIN vs. CHI	04/10/2022	L	7	0	0	0	-	0	0	-	0	0	-	0	0	0	2	0	0	0	0	3	3.0
23	Isaiah Joe	PHI	PHI vs. DET	04/10/2022	W	28	8	2	9	22.2	2	7	28.6	2	2	100	0	4	4	2	2	0	3	2	21	18.8
24	Shake Milton	PHI	PHI vs. DET	04/10/2022	W	33	30	11	18	61.1	1	3	33.3	7	7	100	2	2	4	4	2	1	0	1	24	49.8
25	Jamorko Pickett	DET	DET @ PHI	04/10/2022	L	23	6	2	6	33.3	2	5	40.0	0	0	-	0	5	5	0	0	1	2	0	-4	13.0
26	Luka Garza	DET	DET @ PHI	04/10/2022	L	31	20	8	18	44.4	2	7	28.6	2	6	33.3	7	3	10	4	0	1	1	3	-22	40.0
27	Saben Lee	DET	DET @ PHI	04/10/2022	L	32	11	1	4	25.0	0	0	-	9	12	75.0	2	0	2	8	1	0	7	4	-29	21.4
28	Matisse Thybulle	PHI	PHI vs. DET	04/10/2022	W	36	7	3	4	75.0	1	2	50.0	0	0	-	0	3	3	1	1	2	0	4	-4	21.1
29	Carsen Edwards	DET	DET @ PHI	04/10/2022	L	26	5	2	9	22.2	1	5	20.0	0	0	-	1	0	1	4	0	0	3	0	-15	9.2
30	Furkan Korkmaz	PHI	PHI vs. DET	04/10/2022	W	32	9	2	10	20.0	1	7	14.3	4	4	100	1	2	3	4	0	1	1	0	24	20.6
31	Rodney McGruder	DET	DET @ PHI	04/10/2022	L	25	5	2	7	28.6	0	3	0.0	1	2	50.0	0	5	5	1	0	1	1	3	-20	14.5
32	DeAndre Jordan	PHI	PHI vs. DET	04/10/2022	W	23	8	4	6	66.7	0	0	-	0	2	0.0	3	8	11	1	0	1	0	3	-14	25.7
33	Danny Green	PHI	PHI vs. DET	04/10/2022	W	20	0	0	2	0.0	0	2	0.0	0	0	-	0	4	4	2	3	0	2	2	-9	14.8
34	Tobias Harris	PHI	PHI vs. DET	04/10/2022	W	24	6	3	10	30.0	0	0	-	0	0	-	2	3	5	6	1	0	2	4	0	22.0
35	Frank Jackson	DET	DET @ PHI	04/10/2022	L	22	10	4	9	44.4	0	4	0.0	2	2	100	0	1	1	0	0	0	1	1	3	10.2
36	Killian Hayes	DET	DET @ PHI	04/10/2022	L	10	8	3	7	42.9	1	3	33.3	1	2	50.0	0	1	1	1	1	0	0	2	14	13.7
37	Tyrese Maxey	PHI	PHI vs. DET	04/10/2022	W	23	25	9	15	60.0	0	4	0.0	7	7	100	0	2	2	3	0	0	2	2	-12	29.9
38	Saddiq Bey	DET	DET @ PHI	04/10/2022	L	13	5	2	7	28.6	0	1	0.0	1	2	50.0	1	2	3	2	0	0	0	0	10	11.6
39	Isaiah Stewart	DET	DET @ PHI	04/10/2022	L	13	10	4	4	100	2	2	100	0	0	-	1	5	6	2	0	0	0	1	10	20.2
40	Braxton Key	DET	DET @ PHI	04/10/2022	L	22	12	5	7	71.4	1	2	50.0	1	1	100	2	3	5	3	1	1	2	0	-15	26.5
41	Isaiah Livers	DET	DET @ PHI	04/10/2022	L	23	14	5	5	100	2	2	100	2	2	100	1	2	3	1	1	0	2	2	8	20.1
42	Paul Reed	PHI	PHI vs. DET	04/10/2022	W	21	25	12	14	85.7	0	0	-	1	1	100	2	4	6	2	4	1	0	5	30	50.2
43	Jayson Tatum	BOS	BOS @ MEM	04/10/2022	W	26	31	11	14	78.6	6	8	75.0	3	3	100	0	9	9	3	1	0	5	2	29	44.3
44	De'Anthony Melton	MEM	MEM vs. BOS	04/10/2022	L	24	14	4	13	30.8	3	9	33.3	3	4	75.0	1	2	3	5	0	1	1	2	-20	27.1
45	Grant Williams	BOS	BOS @ MEM	04/10/2022	W	20	9	2	7	28.6	1	4	25.0	4	4	100	1	2	3	1	0	1	1	3	17	16.1
46	Payton Pritchard	BOS	BOS @ MEM	04/10/2022	W	15	12	4	8	50.0	2	5	40.0	2	2	100	2	2	4	4	1	0	0	1	18	25.8
